Equipe;Epic;Titre;Statut;Total;Done;EnCours;Type;Composant
EXPOSER;DE-298;Le Hub x TAM V1 : mettre en place des flux de création de fichiers;Backlog;0;0;0;Build;Graph ID​
EXPOSER;DE-301;Migrer les 5 vues du dashboard TechOps du Tableau vers PowerBI;A cadrer;10;0;0;;Dashboarding
EXPOSER;DE-302;Faire évoluer le dashboard Pilotage de la diffusion;A cadrer;4;0;0;;Dashboarding
EXPOSER;DE-303;Ajouter l'onglet 4 : Export pour le dashboard Survaleur;A cadrer;6;2;1;;Dashboarding
EXPOSER;DE-304;Migrer les 3 vues du dashboard Yield du Tableau vers PowerBI;A cadrer;3;3;0;;Dashboarding
EXPOSER;DE-305;Optimiser la consommation de ressources des dashboards Power BI;A cadrer;0;0;0;;Dashboarding
EXPOSER;DE-306;Mettre en place un système d'alerting sur le dashboard TF1+ et Pilotage de la diffusion;A cadrer;1;1;0;;Dashboarding
EXPOSER;DE-307;Migration scripts & Monitorer la data quality GraphID via DBT;A cadrer;6;0;0;;Graph ID​
EXPOSER;DE-315;Exposer RUN;Backlog;42;36;0;;Dashboarding,Graph ID​,Portail Data​
EXPOSER;DE-343;Enrichir GraphID avec les données Réseaux Sociaux;Backlog;1;0;0;Build;Graph ID​
IAML;DI-41;Finaliser la migration vers les tables RBAC;En cours;0;0;0;;Run
IAML;DI-63;Intégration et industrialisation de la lib-connector dans tous les repository;En cours;19;10;0;;ML Plateform
IAML;DI-71;Améliorer l'architecture & le modeling de nos modèles de recommandation - Lot 1;En cours;3;0;0;;Algo de reco
IAML;DI-497;Enrichir les données "quick win" pour la recommandation et A/B tester Lot 1;En cours;8;5;1;Build;Algo de reco
IAML;DI-624;Développer une mémoire dynamique pondérant court / moyen / long terme pour améliorer la pertinence des recommandations et A/B tester;A cadrer;5;0;0;Build;Algo de reco
IAML;DI-625;MVP du modèle et pipeline One Target pour Netflix;En cours;2;1;0;Build;Algo de ciblage
IAML;DI-628;Industrialiser le modèle et pipeline One Target pour Netflix;A cadrer;11;0;2;Build;Algo de ciblage
IAML;DI-703;Explicabilité du modèle NCF;En cours;8;4;3;;Algo de reco
IAML;DI-704;Enrichir les données "quick win" pour la recommandation et A/B tester Lot 2;A Faire;5;0;0;Build;Algo de reco
IAML;DI-745;POC Astronomer;A Faire;6;2;0;Build;ML Plateform
IAML;DI-746;Mettre en place le monitoring Datadog;A Faire;5;0;0;Build;ML Plateform
IAML;DI-747;Finaliser et muscler notre capacité à analyser nos A/B tests;En cours;4;2;1;Build;ML Plateform
IAML;DI-748;lib-dev-utils;A cadrer;0;0;0;Build;ML Plateform
IAML;DI-766;Lib One Target / One Target V2;En cours;24;10;2;Build;Algo de ciblage
MONETISER;DM-438;Netflix - Segmentation déterministe;Backlog;3;1;1;;Netflix
MONETISER;DM-439;Citron TRE;Backlog;20;17;0;;Citron
MONETISER;DM-440;Migration Audience Manager;Backlog;14;11;2;;Audiences Freewheel
MONETISER;DM-441;- Cadrage CDP Composable - Discovery;Backlog;0;0;0;;Customer Data Platform
MONETISER;DM-442;Référentiel des cibles;Backlog;12;9;1;;Reco cibles
MONETISER;DM-443;Optimisation socio démo : lot 1 des tests;En cours;0;0;0;;Audiences Freewheel
MONETISER;DM-445;Thematik by AI sur content TF1 Info;Backlog;4;1;0;;Thematik by IA
MONETISER;DM-465;RUN - Monétiser;Backlog;14;14;0;;Autres
MONETISER;DM-481;Midtail - Enrichissement SIREN;Backlog;0;0;0;Build;Autres
MONETISER;DM-511;NETFLIX - Adapation code;Backlog;2;1;0;Build;Netflix
STACK DATA;DSD-1205;[Jira CMDB] - MVP;Backlog;0;0;0;Build;Data plateform
STACK DATA;DSD-1960;- Refonte des droits d'accès sur la plateforme Datech;En cours;5;4;0;Build;Data plateform
STACK DATA;DSD-1962;- Revue Audit CI/CD;En cours;0;0;0;Build;Autres
STACK DATA;DSD-1963;- Améliorer la sécurité de la plateforme Azure;En cours;2;0;1;;Autres
STACK DATA;DSD-1994;- Implementation Cnapp Wiz;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-1995;- Amélioration de la sécurité et les performances de la CI/CD;En cours;5;5;0;Build;Data plateform
STACK DATA;DSD-2068;- Cadrage Plateforme Composable;En cours;3;0;1;;
STACK DATA;DSD-2084;[Netflix] - Infrastructure;En cours;4;2;1;Build;Data plateform
STACK DATA;DSD-2086;- Optimisation FINOPS Infra;En cours;2;1;1;Build;Data plateform
STACK DATA;DSD-2087;- Bascule Mode Authentification Snowflake;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2088;- Pricing Dynamic;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2091;- Infrastructure Stack Catchr;A Faire;1;0;0;Build;Data plateform
STACK DATA;DSD-2131;- Purges des données Snowflake;En cours;1;0;1;;Data plateform
STACK DATA;DSD-2132;- RAW-TO-INT;En cours;1;0;0;Build;Data plateform
STACK DATA;DSD-2133;[Snowflake] - FinOps;En cours;6;4;2;;Data plateform
STACK DATA;DSD-2134;- Masking des données Snowflake;En cours;1;1;0;Build;Data plateform
STACK DATA;DSD-2135;[Citron Tre] - Infrastructure Stack;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2211;[AP Perf DTW] - Infra Stack;En cours;1;1;0;Build;Data plateform
STACK DATA;DSD-2245;[AP Perf DTS] - Infra Stack;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2258;[Snowflake] - Amelioration Continue;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2311;[Snowflake] - MCO/RUN;En cours;10;8;1;Run;Data plateform
STACK DATA;DSD-2349;- Agentic AI Framework;En cours;7;5;1;Build;Data plateform
STACK DATA;DSD-2350;[Data PlateForme] - MCO / RUN;En cours;28;15;7;Run;Data plateform
STACK DATA;DSD-2354;[APA] - Stack Data;En cours;1;1;0;;Data plateform
STACK DATA;DSD-2355;[Datadog] - migration et mise en place du monitoring avec Datadog;En cours;2;1;1;Build;Data plateform
STACK DATA;DSD-2380;[DBT] - INFRA;En cours;2;1;0;Run;Data plateform
STACK DATA;DSD-2393;- Corriger les écarts (code-prod) terraform;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2433;[Terraform] - Mise en place Matrice Terraform Snowflake avec le provider à jour;En cours;0;0;0;Build;Data plateform
STACK DATA;DSD-2680;- Exposition Catalogue;En cours;0;0;0;Build;Autres
STACK DATA;DSD-2681;[Reco] - Optimisation des reco tf1+;En cours;1;1;0;;Autres
STACK DATA;DSD-2682;[Databricks] - RUN / MCO;En cours;0;0;0;Run;Data plateform
STACK DATA;DSD-2729;- Github Copilot;Backlog;6;3;0;Build;Autres
STACK DATA;DSD-2739;- POC Astronomer;En cours;11;9;0;Build;Data plateform
